bin_ind,counts
4,3797
5,3898
6,3925
7,3905
8,3401
9,3675
10,3889
11,3729
12,3957
13,4048
14,3881
15,3859
16,3869
17,3773
18,3906
19,4206
20,4134
21,3908
22,3870
23,4095
24,3823
25,4101
26,4410
27,4292
28,3984
29,4152
30,4239
31,3780
32,4120
33,4424
34,3668
35,3870
36,3781
37,5474
38,4386
39,3974
40,4830
41,4398
42,4039
43,4093
44,4224
45,3450
46,3502
47,2585
48,4152
49,3834
50,4092
51,3589
52,4217
53,4043
54,3374
55,4094
56,3946
57,3644
58,3862
59,4556
60,4539
61,4183
62,3468
63,3951
64,3601
65,4305
66,3549
67,3400
68,4217
69,3968
70,3863
71,3867
72,4803
73,4630
74,4261
75,5523
76,4399
77,3603
78,3754
79,3787
80,3436
81,3730
82,3876
83,3941
84,3847
85,4179
86,1804
87,4701
88,5381
89,6259
90,5331
91,5159
92,5782
93,5168
94,4490
95,3726
96,3663
97,4311
98,3934
99,4080
100,4200
101,4031
102,4076
103,4383
104,4440
105,4126
106,4041
107,4248
108,3826
109,4132
110,3840
111,4425
112,3986
113,4437
114,4440
115,4119
116,4662
117,4799
118,3677
119,3859
120,4409
121,4302
122,4198
123,4732
124,4666
125,5023
126,4183
127,4014
128,4346
129,3933
130,4684
131,4235
132,5433
133,5530
134,6170
135,5144
136,5305
137,5099
138,3842
139,4082
140,3805
141,4103
142,4215
143,4375
144,3705
145,4020
146,4311
147,3956
148,4028
149,4223
150,4790
151,4360
152,4356
153,4476
154,4834
155,4173
156,4717
157,4440
158,4563
159,4466
160,4238
161,4385
162,4293
163,4346
164,4322
165,4810
166,4460
167,4063
168,4336
169,4339
170,3818
171,4461
172,4292
173,4143
174,3101
175,3776
176,4224
177,4468
178,3807
179,4179
180,4905
181,5680
182,4610
183,5088
184,4230
185,5166
186,4273
187,4603
188,4736
189,4547
190,4627
191,5491
192,5797
193,4647
194,5438
195,5360
196,1355
200,4333
201,5054
202,5396
203,5138
204,4314
205,4490
206,4548
207,4661
208,4415
209,4047
210,4662
211,4351
212,4057
213,4186
214,4173
215,4088
216,4080
217,4502
218,4255
219,3611
220,3521
221,4749
222,6681
223,6088
224,7179
225,5342
226,5702
227,7249
228,6241
229,7664
230,5505
231,5380
232,5948
233,4248
234,4550
235,5393
236,4568
237,4495
238,4648
239,4722
240,4356
241,4147
242,3946
243,4030
244,4247
245,3986
246,4201
247,3881
248,3716
249,4477
250,4004
251,4497
252,4587
253,4269
254,4382
255,4337
256,4838
257,4984
258,4379
259,4437
260,4736
261,4664
262,4530
263,4636
264,4737
265,4515
266,4698
267,4626
268,4983
269,5148
270,4553
271,3973
272,4452
273,4476
274,4658
275,4382
276,4480
277,4207
278,4244
279,4468
280,3960
281,4586
282,4811
283,4381
284,4706
285,4360
286,4697
287,4093
288,5754
289,5476
290,5245
291,4502
292,4936
293,5120
